Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
just_ns,376209315,93615,37023,3969,341549,66811,12351240,True,False
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,True,True
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,True,True
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,True,False
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,True,False
Magic,362552205,43350,114234,5123,365714,50355,18694298,True,False
Xari,361741665,80535,28830,4841,269447,147894,5746209,True,False
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,True,False
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,True,True
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,True,True
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,True,False
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,True,False
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,True,False
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,True,False
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,True,False
Ponce,355091505,111360,23255,3043,242969,196880,13687141,True,False
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,True,True
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,True,False
강지 (rkdwl12),353381040,141450,29993,2484,507418,270927,12873339,True,False
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,True,False
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,True,False
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,True,False
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,True,False
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,True,False
singsing,346171920,126795,11839,2735,572005,45761,6526670,True,True
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,True,False
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,True,False
bateson87,342162660,98730,20204,3344,598678,254821,16648694,True,False
Staiy,341874270,91545,15429,3711,259624,90591,5503882,True,False
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,True,False
NymN,340095510,100125,23488,3402,241746,111122,4409296,True,True
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,True,False
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,True,True
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,True,False
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,True,False
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,True,False
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,True,False
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,True,False
Sjow,331726155,149700,8140,2189,240206,21662,3365340,True,False
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,True,False
scoped,330160515,63360,47343,5165,731808,728892,8279834,True,True
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,True,True
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,True,False
StereOnline,327697680,400770,4227,785,327645,91352,4620985,True,False
keanelol,327242790,147255,7208,2176,162917,85035,4068823,True,False
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,True,False
sips_,325731015,108990,7872,2984,430755,84034,4331397,True,True
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,True,False
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,True,False
midbeast,324433515,118005,16153,2652,330060,143256,10000927,True,False
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,True,False
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,True,False
Veritas,320121405,135150,103833,1595,182492,131913,4176079,True,False
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,True,False
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,True,True
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,True,False
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,True,False
modestal,316203420,55455,25985,5660,323364,193939,11440074,True,False
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,True,False
XEWER,315398565,189315,17100,1660,455056,215059,6449741,True,False
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,True,False
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,True,False
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,True,True
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,True,False
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,True,False
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,True,False
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,True,True
Overpow,309892665,153015,10858,2004,254516,29344,9020762,True,True
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,True,False
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,True,True
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,True,True
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,True,False
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,True,False
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,True,False
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,True,False
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,True,True
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,True,False
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,True,False
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,True,False
Felps,303435945,96930,15553,3109,844681,284169,6099521,True,False
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,True,False
쉐리 (kss7749),301790445,115380,12295,2403,170718,19597,7546887,True,False
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,True,True
adolfz,299235990,62520,15928,4926,294217,154653,2743587,True,True
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,False,False
knekro,298811910,102210,13731,2912,260728,97206,10900480,True,False
Savjz,298693050,86205,12708,3401,542892,13967,4072337,True,False
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,True,False
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,True,True
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,True,False
Timmac,294663825,191970,13500,1460,393639,32867,4232938,True,False
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,True,False
소우릎 (so_urf),293688270,167895,9665,1756,95477,44040,8120712,True,False
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,True,False
